producto_id,nombre,categoria,material,precio,estilo,ocasion,temporada,oferta_mes,valoracion,descripcion
31,Pendientes Chandelier Plata,Pendientes,Plata,145.0,Vintage,Fiesta,Otoño,False,4.2,Pendientes chandelier con capas en plata de ley drama festivo
32,Anillo Sello Acero Grabado,Anillos,Acero,75.0,Moderno,Trabajo,Continuo,True,3.6,Anillo sello en acero con grabado láser personalizable
33,Collar Medallón Oro,Collares,Oro,430.0,Vintage,Ocasional,Otoño,False,4.4,Collar medallón redondo en oro con motivo grabado vintage
34,Pulsera Esclava Platino,Pulseras,Platino,1250.0,Clásico,Gala,Invierno,True,4.7,Pulsera esclava en platino pulido joya de lujo para galas
35,Broche Flor Oro Rosa,Broches,Oro Rosa,265.0,Bohemio,Trabajo,Primavera,False,4.0,Broche floral en oro rosa con pétalos articulados único
36,Pendientes Perla Plata,Pendientes,Plata,98.0,Clásico,Trabajo,Continuo,True,4.5,Pendientes de perla de agua dulce en montura de plata clásica
37,Anillo Granate Oro Rosa,Anillos,Oro Rosa,340.0,Vintage,Fiesta,Otoño,False,4.3,Anillo con piedra granate en montura de oro rosa estilo victoriano
38,Collar Choker Terciopelo Oro,Collares,Oro,195.0,Bohemio,Fiesta,Invierno,True,3.9,Choker de terciopelo negro con cierre dorado estética bohemia oscura
39,Pulsera Rígida Acero Texturado,Pulseras,Acero,88.0,Moderno,Diario,Continuo,False,3.7,Pulsera rígida en acero con textura martillada diseño industrial
40,Broche Estrella Plata,Broches,Plata,120.0,Minimalista,Diario,Invierno,True,4.1,Broche estrella de cinco puntas en plata pulida elegancia sutil
